No;FCHI.Close;IBEX.Close
491;5267.259766;9684.200195
492;5282.75;9761
493;5222.839844;9664.099609
494;5252.430176;9681.599609
495;5167.209961;9487.400391
496;5095.220215;9393.099609
497;5066.279785;9381
498;5115.740234;9473.599609
499;5130.439941;9555
500;5152.120117;9549.599609
501;5141.799805;9513.299805
502;5276.669922;9740.900391
503;5258.240234;9682.799805
504;5263.390137;9742.799805
505;5307.560059;9763.5
506;5277.939941;9735.799805
507;5309.220215;9747
508;5315.02002;9767.299805
509;5312.959961;9766.099609
510;5353.540039;9803.900391
511;5380.169922;9857.299805
512;5391.640137;9868
513;5412.830078;9884.200195
514;5438.549805;9922
515;5444.160156;9883.400391
516;5413.299805;9858
517;5453.580078;9902.299805
518;5483.189941;9925.400391
519;5529.220215;10088.90039
520;5521.930176;10168.09961
521;5534.629883;10221.2002
522;5545.950195;10246.59961
523;5541.939941;10271.40039
524;5540.680176;10257.79981
525;5553.160156;10207.59961
526;5567.540039;10111
527;5621.919922;10216.40039
528;5614.509766;10112.40039
529;5637.509766;10066.5
530;5640.100098;10138.79981
531;5565.850098;10025
532;5548.450195;9996
533;5438.060059;9521.299805
534;5427.350098;9566.200195
535;5398.399902;9465.5
536;5465.529785;9632.400391
537;5472.910156;9750.299805
538;5460.950195;9686.400391
539;5457.560059;9791.599609
540;5448.359863;9829
541;5450.220215;9746.299805
542;5473.910156;9898.299805
543;5453.370117;9914.400391
544;5452.72998;9899.099609
545;5528.459961;9957.700195
546;5501.879883;9851
547;5450.47998;9769.400391
548;5390.629883;9755.400391
549;5316.009766;9702.099609
550;5387.379883;9792.099609
551;5283.859863;9617.900391
552;5281.290039;9637.400391
553;5327.200195;9658.599609
554;5275.640137;9589
555;5323.529785;9622.700195
556;5276.759766;9558.299805
557;5316.77002;9660.900391
558;5366.319824;9866.200195
559;5375.77002;9905
560;5434.359863;9889.299805
561;5353.930176;9733.599609
562;5405.899902;9767.400391
563;5429.200195;9734.799805
564;5409.430176;9716.900391
565;5422.540039;9719.400391
566;5447.439941;9753.200195
567;5417.069824;9721.099609
568;5398.319824;9724.799805
569;5378.25;9726.099609
570;5434.189941;9773.099609
571;5426.410156;9703.099609
572;5480.549805;9780
573;5511.759766;9867.900391
574;5491.220215;9854.099609
575;5511.299805;9870.700195
576;5498.370117;9799.299805
577;5460.97998;9698.200195
578;5478.97998;9739.799805
579;5477.180176;9722.700195
580;5521.310059;9772.799805
581;5501.899902;9747.099609
582;5502.25;9754.599609
583;5414.680176;9602.099609
584;5412.319824;9530.400391
585;5403.410156;9507
586;5305.220215;9386.799805
587;5349.02002;9427.400391
588;5344.930176;9417.299805
589;5408.600098;9549
590;5420.609863;9580.200195
591;5419.330078;9567.299805
592;5432.5;9589.5
593;5484.990234;9606.5
594;5501.330078;9569.5
595;5478.060059;9467.599609
596;5406.850098;9399.099609
597;5342.700195;9376.299805
598;5260.220215;9301.299805
599;5243.839844;9208.700195
600;5252.220215;9171.200195
601;5269.629883;9270.799805
602;5283.790039;9284.099609
603;5332.129883;9306.799805
604;5328.120117;9329.200195
605;5352.569824;9365.299805
606;5363.790039;9447.5
607;5393.740234;9486.299805
608;5451.589844;9583.700195
609;5494.169922;9590.400391
610;5479.100098;9493.599609
611;5512.72998;9524.799805
612;5540.410156;9527.5
613;5493.490234;9389.200195
614;5506.819824;9407
615;5467.890137;9305.5
616;5491.399902;9361.099609
617;5410.850098;9314.5
618;5359.359863;9253.900391
619;5318.549805;9260.5
620;5206.220215;9162.900391
621;5106.370117;9007.900391
622;5095.97998;8902
623;5173.049805;9074.700195
624;5144.950195;8997.200195
625;5116.790039;8889.599609
626;5084.660156;8892.099609
627;5053.310059;8806.5
628;4967.689941;8726.099609
629;4953.089844;8677.400391
630;5032.299805;8785.200195
631;4967.370117;8730.400391
632;4989.350098;8821.200195
633;4978.529785;8806.099609
634;5093.439941;8893.5
635;5085.779785;8954.799805
636;5102.129883;8993
637;5101.390137;9010.700195
638;5137.939941;9167.900391
639;5131.450195;9177
640;5106.75;9134.799805
641;5059.089844;9076.299805
642;5101.850098;9145.400391
643;5068.850098;9106.599609
644;5033.620117;9073.5
645;5025.200195;9056.799805
646;4924.890137;8866.5
647;4975.5;8960.599609
648;4994.97998;9091.200195
649;4983.149902;9085.599609
650;4983.240234;9102.700195
651;5006.25;9098.900391
652;5053.97998;9179.599609
653;5012.660156;9061.700195
654;4780.459961;8764.5
655;4813.129883;8815.5
656;4742.379883;8660
657;4806.200195;8735.5
658;4909.450195;8853.400391
659;4896.919922;8926.299805
660;4853.700195;8886.099609
661;4799.870117;8812.5
662;4754.080078;8700.799805
663;4777.450195;8769.099609
664;4692.459961;8596.5
665;4694.379883;8556.799805
666;4598.609863;8363.900391
